iter	Passed	Remaining
0	156	155983
1	158	78950
2	159	52924
3	160	39883
4	162	32246
5	163	27018
6	164	23318
7	165	20501
8	166	18306
9	167	16569
10	168	15181
11	169	13976
12	173	13197
13	176	12399
14	177	11626
15	178	10950
16	179	10363
17	180	9838
18	181	9391
19	182	8962
20	183	8576
21	185	8241
22	188	7989
23	195	7967
24	197	7683
25	197	7417
26	199	7180
27	200	6954
28	201	6743
29	202	6552
30	203	6365
31	205	6207
32	206	6051
33	207	5900
34	210	5798
35	211	5661
36	212	5528
37	213	5403
38	214	5283
39	215	5168
40	216	5064
41	217	4961
42	218	4867
43	220	4788
44	222	4713
45	231	4803
46	233	4733
47	234	4658
48	235	4578
49	236	4500
50	237	4426
51	238	4355
52	239	4286
53	240	4219
54	241	4154
55	242	4092
56	243	4032
57	245	3979
58	248	3962
59	253	3976
60	256	3941
61	258	3914
62	260	3869
63	261	3821
64	262	3779
65	263	3733
66	264	3689
67	267	3668
68	269	3635
69	270	3594
70	271	3552
71	272	3511
72	273	3472
73	274	3435
74	277	3426
75	280	3412
76	281	3378
77	282	3343
78	284	3315
79	286	3291
80	287	3265
81	288	3234
82	289	3199
83	291	3176
84	293	3161
85	294	3132
86	296	3106
87	297	3082
88	298	3054
89	299	3029
90	300	3001
91	301	2974
92	307	2995
93	308	2971
94	309	2948
95	310	2924
96	311	2902
97	313	2885
98	314	2863
99	315	2841
100	316	2819
101	318	2800
102	319	2778
103	319	2756
104	323	2757
105	325	2742
106	326	2724
107	327	2704
108	328	2686
109	330	2671
110	331	2655
111	332	2636
112	333	2618
113	334	2600
114	335	2581
115	336	2562
116	336	2542
117	337	2525
118	338	2506
119	339	2489
120	342	2486
121	343	2472
122	344	2456
123	345	2441
124	346	2426
125	347	2411
126	348	2394
127	349	2382
128	350	2369
129	351	2355
130	353	2343
131	354	2329
132	355	2315
133	356	2301
134	356	2287
135	358	2278
136	360	2271
137	362	2261
138	363	2248
139	364	2236
140	364	2223
141	365	2210
142	367	2201
143	369	2193
144	370	2187
145	372	2177
146	373	2166
147	374	2155
148	378	2161
149	380	2156
150	386	2171
151	389	2170
152	390	2160
153	391	2149
154	392	2137
155	394	2133
156	395	2123
157	403	2148
158	404	2138
159	405	2128
160	406	2116
161	407	2105
162	408	2095
163	409	2085
164	410	2075
165	411	2066
